,val_loss,val_acc
0,2.3037878353118897,0.13
1,2.2350734050750733,0.1677
2,2.1754385074615477,0.1401
3,2.078089288711548,0.5262
4,1.9718848691940307,0.4726
5,1.893165806388855,0.3955
6,1.7472433391571045,0.4976
7,1.593319580078125,0.6012
8,1.521615774345398,0.5575
9,1.618059183883667,0.4491
10,1.6339741661071778,0.5225
11,1.415098093032837,0.507
12,1.2280485326766968,0.6633
13,1.0759638978004455,0.683
14,1.113608899116516,0.6182
15,1.4631180351257325,0.4838
16,1.4215258773803712,0.6195
17,1.2193376375198364,0.5856
18,0.9431671178817749,0.7296
19,0.8956780716896057,0.6895
20,0.8937889666557312,0.7108
21,0.8550777202606201,0.7155
22,0.8249998818397521,0.7403
23,0.8278329462051391,0.7513
24,0.8783527742385864,0.6946
25,0.9041727784156799,0.6632
26,0.895507220363617,0.7033
27,0.672829006767273,0.8029
28,0.6964620381355285,0.7924
29,0.7985292583465576,0.7314
30,0.8535731382369995,0.7668
31,0.7059964530944824,0.7632
32,0.6550322501182556,0.7835
33,0.6227403065681457,0.8023
34,0.5924714334964752,0.8051
35,0.6169361710548401,0.8047
36,0.5801538043022155,0.8235
37,0.6594239095687866,0.7648
38,0.5201347422122955,0.8462
39,0.5597022961139679,0.8211
40,0.5268067578315735,0.8486
41,0.5044989362716675,0.8441
42,0.5486896956920624,0.8211
43,0.5393326146125793,0.8229
44,0.615938512802124,0.7943
45,0.5357036479949951,0.8325
46,0.5749526795864105,0.8134
47,0.684494015789032,0.7889
48,0.5360477426052094,0.8414
49,0.5112548985481262,0.8416
50,0.508682361984253,0.8358
