,val_loss,val_acc
0,2.3052569988250733,0.0897
1,2.2267189651489256,0.2009
2,2.0519840898513793,0.5232
3,1.8267603570938111,0.5681
4,1.5658703554153441,0.6234
5,1.5095033832550049,0.5845
6,1.7416452314376831,0.5017
7,1.6986450674057008,0.4312
8,1.805920042037964,0.3307
9,1.642409683227539,0.465
10,1.53570763092041,0.6216
11,1.2899639478683471,0.7014
12,1.007411560535431,0.7483
13,0.9809772455215454,0.6813
14,1.3364959897994995,0.5983
15,1.314910884284973,0.5703
16,1.2661706298828126,0.6868
17,0.9954527335166932,0.6872
18,0.7866687564849854,0.7721
19,0.7359069478988648,0.7959
20,0.8628499988555908,0.6851
21,1.197796167564392,0.6509
22,1.1239915409088135,0.6547
23,1.166255742263794,0.5977
24,1.1329801851272583,0.6233
25,0.9210707527160644,0.7695
