,val_loss,val_acc
0,2.305257014083862,0.0897
1,2.217932987976074,0.324
2,2.0503396583557127,0.4607
3,1.84500714969635,0.5395
4,1.5852915117263795,0.6164
5,1.4099296997070312,0.6166
6,1.6568867483139038,0.3525
7,1.941441390991211,0.3063
8,1.7116332395553588,0.515
9,1.4755398292541504,0.6033
10,1.22869942111969,0.6983
11,1.3001430822372437,0.5568
12,1.570986616897583,0.4489
13,1.2452313148498535,0.5829
14,1.3340583223342894,0.5365
15,1.6296475690841674,0.5111
16,1.2828674726486207,0.5931
17,1.2365505146026612,0.5858
18,1.0997069917678832,0.6998
19,0.9097803075790405,0.7141
20,0.8102008130073547,0.7736
21,0.8470688885688782,0.6948
22,0.7797042542457581,0.7439
23,0.7179802196502686,0.7843
24,0.6899318147659301,0.7961
25,0.8529391222000122,0.7241
