,train_loss,train_acc,val_loss,val_acc
0,,,2.305256986618042,0.0897
1,2.269136905670166,0.19140625,2.273386446380615,0.1593
2,2.2447805404663086,0.2421875,2.2374233375549317,0.2494
3,2.208705186843872,0.35546875,2.200542163848877,0.3923
4,2.155851125717163,0.53515625,2.159781251525879,0.4936
5,2.110713005065918,0.59765625,2.11558013420105,0.551
6,2.087946891784668,0.5390625,2.0710082580566405,0.5928
7,2.0571377277374268,0.578125,2.0271442920684812,0.6135
8,1.9742431640625,0.59375,1.9786110523223877,0.6331
9,1.9417920112609863,0.62109375,1.9256502199172973,0.6423
10,1.8618069887161255,0.6875,1.868032053565979,0.6587
11,1.798101544380188,0.6796875,1.8116351903915404,0.671
12,1.780031681060791,0.6484375,1.7542954246520996,0.6838
13,1.733038067817688,0.640625,1.6981687133789063,0.6881
14,1.6343269348144531,0.6796875,1.6432564916610717,0.7009
15,1.6433453559875488,0.7109375,1.5830676687240601,0.715
16,1.5825488567352295,0.671875,1.524671131324768,0.725
17,1.4345033168792725,0.74609375,1.4640119625091552,0.7349
18,1.3888777494430542,0.76171875,1.4124995491027832,0.7436
19,1.4326765537261963,0.7109375,1.357419228553772,0.7504
20,1.318000316619873,0.78515625,1.3103572772979737,0.7564
21,1.2838703393936157,0.76171875,1.2571153692245483,0.7697
22,1.2866904735565186,0.75,1.2103936027526856,0.779
23,1.1651173830032349,0.78125,1.1673033624649047,0.7836
24,1.090421438217163,0.8203125,1.1284767478942872,0.7894
25,1.1209701299667358,0.77734375,1.0867497679710387,0.7966
26,1.0381114482879639,0.8125,1.0476509464263917,0.8011
27,1.046438455581665,0.7734375,1.0145718317985535,0.8041
28,0.9839931130409241,0.81640625,0.9828947622299194,0.809
29,0.9167091846466064,0.8125,0.9515898183822632,0.816
30,0.9505295157432556,0.765625,0.9261957729339599,0.8171
31,0.9605547189712524,0.8125,0.8998067636489868,0.8199
32,0.8954858779907227,0.80859375,0.8757879885673523,0.8251
33,0.8618825674057007,0.83984375,0.8537581474304199,0.8282
34,0.8147279024124146,0.8359375,0.8332197671890259,0.832
35,0.8081146478652954,0.8515625,0.8132135577201843,0.8347
36,0.8615934252738953,0.8359375,0.7919597411155701,0.8354
37,0.8646805286407471,0.7890625,0.7737599972724915,0.839
38,0.8183684349060059,0.83984375,0.7559747789382935,0.8413
39,0.7468937039375305,0.8515625,0.7414548488616943,0.8437
40,0.7069458365440369,0.8515625,0.7263587251663208,0.8446
41,0.7390395998954773,0.8515625,0.7111789730072021,0.8483
42,0.7103150486946106,0.87109375,0.6981634948730469,0.8517
43,0.6564879417419434,0.86328125,0.6850069709777832,0.8506
44,0.647739827632904,0.87109375,0.6735219476699829,0.8542
45,0.743036687374115,0.83984375,0.6613820508003235,0.8558
46,0.6586334705352783,0.86328125,0.6515147793292999,0.8574
47,0.6427093744277954,0.8333333333333334,0.640289819908142,0.8591
48,0.6579874157905579,0.8359375,0.6306411118030548,0.8605
49,0.729053795337677,0.83203125,0.6215286427497864,0.8612
50,0.6748676300048828,0.84765625,0.6122361358165741,0.8626
51,0.5119823813438416,0.91796875,0.6036078092098236,0.8638
52,0.5447198152542114,0.89453125,0.5959481465339661,0.863
53,0.6059252619743347,0.859375,0.5879986421585083,0.8653
54,0.5933141708374023,0.87109375,0.5808415194511414,0.8668
55,0.6212229132652283,0.84765625,0.5742739857673645,0.8679
56,0.5980556607246399,0.8671875,0.5673710731983185,0.8691
57,0.608265221118927,0.84765625,0.5605805518627167,0.8703
58,0.5220800042152405,0.87890625,0.5538336444854737,0.8708
59,0.5839663743972778,0.84765625,0.5468694047927857,0.8724
60,0.61109459400177,0.84765625,0.5408281673431397,0.8734
61,0.5616916418075562,0.859375,0.5360519327640534,0.8741
62,0.5955141186714172,0.8515625,0.5306134030342102,0.8749
63,0.6350328326225281,0.82421875,0.5255194040298462,0.8752
64,0.4577072262763977,0.91015625,0.5201427187919617,0.8766
65,0.4504771828651428,0.90625,0.5154126480579376,0.8773
66,0.5985310673713684,0.82421875,0.5107905508518219,0.8776
67,0.5132747292518616,0.88671875,0.5057575422763825,0.8789
68,0.5044904947280884,0.89453125,0.5013092116355896,0.8792
69,0.5479660034179688,0.85546875,0.49743095030784606,0.8797
70,0.4486406147480011,0.8984375,0.49298206973075864,0.8798
71,0.4771536886692047,0.88671875,0.4887003533363342,0.8814
72,0.5274913311004639,0.8671875,0.4852576274394989,0.8812
73,0.4911147356033325,0.87109375,0.48200912866592405,0.8817
74,0.5455010533332825,0.84375,0.47831999607086184,0.883
75,0.4671010673046112,0.90234375,0.4751499448776245,0.8828
76,0.4316056966781616,0.91015625,0.4716858837604523,0.8835
77,0.4826354682445526,0.8828125,0.4684670439720154,0.8839
78,0.525682806968689,0.859375,0.46506457924842837,0.8841
79,0.518961489200592,0.87890625,0.46188224210739137,0.8855
80,0.44873785972595215,0.8984375,0.45910865693092345,0.8848
81,0.452487587928772,0.88671875,0.4561499021053314,0.8863
82,0.4142135977745056,0.90234375,0.45340890407562257,0.886
83,0.5223809480667114,0.85546875,0.4506134530067444,0.8876
84,0.5772647261619568,0.83203125,0.4477589027881622,0.8877
85,0.5267338752746582,0.875,0.4454196856975555,0.8879
86,0.4349518418312073,0.89453125,0.4429000066757202,0.8884
87,0.4206993579864502,0.88671875,0.4405120164394379,0.8894
88,0.46615201234817505,0.890625,0.4380948621749878,0.8892
89,0.4651699364185333,0.90234375,0.43597626271247863,0.8895
90,0.3908296525478363,0.88671875,0.4343620470046997,0.8894
