,train_loss,train_acc,val_loss,val_acc
0,,,2.305256986618042,0.0897
1,2.279245138168335,0.11328125,2.273350609970093,0.162
2,2.2412502765655518,0.30078125,2.2408363498687742,0.2634
3,2.2042627334594727,0.37890625,2.2063692096710206,0.3838
4,2.1663641929626465,0.4921875,2.167139942550659,0.477
5,2.136768102645874,0.50390625,2.1277738403320314,0.5435
6,2.0808489322662354,0.62109375,2.085489406967163,0.5865
7,2.0411345958709717,0.59765625,2.039055711746216,0.6098
8,1.9803837537765503,0.67578125,1.9904186891555786,0.6319
9,1.969746470451355,0.6484375,1.9445840114593507,0.6478
10,1.9050846099853516,0.65234375,1.891322389984131,0.6604
11,1.8822435140609741,0.65234375,1.838727445602417,0.6735
12,1.761673927307129,0.76953125,1.7857790922164918,0.6879
13,1.7692924737930298,0.66796875,1.7292183544158934,0.6972
14,1.6592239141464233,0.70703125,1.6706542495727539,0.7068
15,1.650579571723938,0.67578125,1.6132556224822998,0.7152
16,1.50282621383667,0.76953125,1.5565155139923095,0.7184
17,1.531962513923645,0.69921875,1.4971120517730714,0.7266
18,1.4523388147354126,0.7421875,1.4379829864501954,0.7357
19,1.4575358629226685,0.68359375,1.3851548749923706,0.7451
20,1.3441928625106812,0.75,1.3350993249893188,0.7515
21,1.3173807859420776,0.7578125,1.2835784189224244,0.7616
22,1.214592695236206,0.76953125,1.2356263965606689,0.7693
23,1.1757968664169312,0.78515625,1.1917266172409058,0.7748
24,1.2211811542510986,0.7578125,1.1497175701141358,0.7875
25,1.1347442865371704,0.79296875,1.1091137330055236,0.7954
26,1.1034058332443237,0.78515625,1.0730445921897889,0.799
27,1.0420222282409668,0.79296875,1.0355692331314086,0.8057
28,1.0270538330078125,0.796875,1.0036411911010743,0.8111
29,0.975479781627655,0.8359375,0.9773629470825196,0.8136
30,0.9198099374771118,0.8515625,0.9491096090316773,0.8175
31,0.9148213267326355,0.8046875,0.9217227689743042,0.8224
32,0.9287555813789368,0.84765625,0.8975873005867004,0.8226
33,0.9299018979072571,0.80859375,0.8741533782958985,0.8252
34,0.8376708626747131,0.875,0.8524133618354798,0.83
35,0.7954649925231934,0.859375,0.8301529297828675,0.8316
36,0.8300270438194275,0.8359375,0.81107633934021,0.8322
37,0.8156291246414185,0.83984375,0.7930984501838684,0.8374
38,0.8388063311576843,0.79296875,0.774824279499054,0.8396
39,0.7335362434387207,0.859375,0.7581805626869201,0.8421
40,0.7461982369422913,0.84765625,0.7426075297355652,0.8431
41,0.8390272855758667,0.7890625,0.7276571019172668,0.8446
42,0.7519842386245728,0.83984375,0.7140671151161194,0.8459
43,0.6980676651000977,0.8359375,0.7008419892311096,0.8492
44,0.6892634630203247,0.828125,0.6887474789619445,0.8521
45,0.6819406747817993,0.83984375,0.6770163605690003,0.853
46,0.6908053159713745,0.84765625,0.6663055152893066,0.8543
47,0.773014485836029,0.8125,0.6549772431373596,0.8571
48,0.7244347929954529,0.84765625,0.6449695376873016,0.8578
49,0.686346709728241,0.8359375,0.6347625768184662,0.8585
50,0.6283178329467773,0.85546875,0.6259218717575074,0.8599
51,0.6811155080795288,0.85546875,0.6167728430747986,0.8622
52,0.6164721250534058,0.84765625,0.6083373605251312,0.8635
53,0.5768166184425354,0.87890625,0.6008707097053528,0.8641
54,0.6385533213615417,0.83203125,0.5921635284900665,0.8656
55,0.572239339351654,0.8671875,0.5848927734851838,0.8671
56,0.5739895105361938,0.89453125,0.5779272560119629,0.8678
57,0.5980413556098938,0.859375,0.5706200235843658,0.8698
58,0.6130659580230713,0.859375,0.5642990704536438,0.8703
59,0.5276541709899902,0.87109375,0.5576763795852662,0.8714
60,0.5893645286560059,0.8671875,0.5515342751502991,0.871
61,0.5343672633171082,0.85546875,0.5449909709453583,0.8731
62,0.632557213306427,0.828125,0.5395255528926849,0.8748
63,0.515384316444397,0.85546875,0.5343739497184753,0.8741
64,0.5384563207626343,0.8671875,0.5289796407222748,0.8748
65,0.48484566807746887,0.8984375,0.5241428496360779,0.8764
66,0.5631839036941528,0.84765625,0.5191794836044311,0.877
67,0.5091721415519714,0.8984375,0.5146203506469726,0.8785
68,0.5139354467391968,0.87890625,0.5096069636821747,0.8781
69,0.5171656012535095,0.86328125,0.5050626101016998,0.8781
70,0.5086001753807068,0.875,0.5011778025627136,0.8789
71,0.5679306387901306,0.86328125,0.49702816863059995,0.8804
72,0.49088066816329956,0.86328125,0.49300892906188964,0.8804
73,0.48785147070884705,0.8984375,0.4895530855178833,0.8802
74,0.46883028745651245,0.90234375,0.4859041521549225,0.8824
75,0.48865261673927307,0.875,0.48243476362228394,0.8825
76,0.49072587490081787,0.88671875,0.47922493929862975,0.8822
77,0.4520397186279297,0.91015625,0.47562291755676267,0.8834
78,0.4443928897380829,0.8828125,0.4722446726322174,0.8837
79,0.48142677545547485,0.86328125,0.46932509984970094,0.8839
80,0.5056374669075012,0.85546875,0.4664892753124237,0.8842
81,0.42927467823028564,0.8984375,0.4635063341140747,0.8849
82,0.3947754502296448,0.92578125,0.46074788961410523,0.8851
83,0.497390478849411,0.890625,0.45773335399627685,0.8849
84,0.46306484937667847,0.87890625,0.45492688646316526,0.8862
85,0.5092678070068359,0.8515625,0.45214650349617,0.887
86,0.42622843384742737,0.890625,0.44930633840560913,0.8873
87,0.458865225315094,0.90625,0.4466035468578339,0.8877
88,0.5745117664337158,0.828125,0.4440718795776367,0.8879
89,0.492094486951828,0.86328125,0.44175143756866453,0.8887
90,0.4284212291240692,0.89453125,0.43916109523773195,0.8887
