,train_loss,train_acc,val_loss,val_acc,time_refs
0,,,2.305256986618042,0.0897,1664204595.354333
1,2.25620698928833,0.25390625,2.2477697326660158,0.2506,1664205075.8254497
2,2.176530599594116,0.4453125,2.1668863475799562,0.4826,1664205636.920997
3,2.0872130393981934,0.59765625,2.0948687965393065,0.5778,1664206073.908145
4,2.0040245056152344,0.60546875,2.005085779953003,0.6318,1664206505.1925032
5,1.9059529304504395,0.640625,1.8917671308517456,0.6598,1664207003.7119608
6,1.7459220886230469,0.734375,1.7617223218917846,0.6901,1664207627.2164805
7,1.5970066785812378,0.77734375,1.6394904069900513,0.7035,1664208251.0996678
8,1.4816755056381226,0.734375,1.5010913427352905,0.7238,1664208787.9848201
9,1.3791531324386597,0.74609375,1.3899191547393799,0.7413,1664209316.4186256
10,1.3082125186920166,0.7578125,1.303570174407959,0.7549,1664209846.7354293
11,1.202444314956665,0.77734375,1.2065216436386108,0.7692,1664210285.5441866
12,1.1415010690689087,0.7265625,1.1217878387451172,0.7838,1664210726.9364278
13,1.0853747129440308,0.76953125,1.0443361379623413,0.7989,1664211260.271029
14,0.988133430480957,0.796875,0.9711193006515503,0.8118,1664211782.8348737
15,0.9443690776824951,0.7734375,0.9078568750381469,0.8202,1664212390.2036574
16,0.9011586904525757,0.796875,0.8585808240890503,0.8228,1664212823.7921772
17,0.7663537859916687,0.875,0.8065679512023926,0.8346,1664213387.3336143
18,0.769240140914917,0.84375,0.77191675157547,0.8405,1664213879.923879
19,0.7002759575843811,0.87109375,0.7361439885139466,0.8419,1664214412.0232444
20,0.7158682346343994,0.8515625,0.7089134752273559,0.8476,1664214852.7697313
21,0.6224164962768555,0.87890625,0.6859765288352966,0.8496,1664215287.368528
22,0.672776997089386,0.8359375,0.6621695746421814,0.8538,1664215791.2306325
23,0.6547513604164124,0.859375,0.6401832810401916,0.8593,1664216372.1324809
24,0.6345192790031433,0.875,0.6202098132610321,0.8595,1664216845.293462
25,0.6170251965522766,0.859375,0.6036703039646149,0.864,1664217315.0674493
26,0.620137631893158,0.86328125,0.5885493629455566,0.8647,1664217795.2792997
27,0.44461941719055176,0.91015625,0.5720949723720551,0.8684,1664218339.2218306
28,0.5715687870979309,0.8671875,0.5577621568202973,0.87,1664218894.6732578
29,0.5414358377456665,0.87109375,0.5425298357009888,0.8722,1664219491.5710742
30,0.5833500623703003,0.84375,0.5309419507026673,0.8737,1664219940.2428591
31,0.5444917678833008,0.875,0.5200782465934753,0.8748,1664220492.3738043
32,0.5095424652099609,0.8984375,0.5106644565105438,0.8791,1664220940.757797
33,0.544205367565155,0.8671875,0.5025690121650696,0.8788,1664221422.317523
34,0.554535448551178,0.875,0.49431414017677305,0.8806,1664221855.8695219
35,0.5523895025253296,0.8515625,0.48728453760147095,0.8788,1664222333.1712716
36,0.42961636185646057,0.91015625,0.4773605656147003,0.8819,1664223048.4121325
37,0.5048855543136597,0.8671875,0.4709918791770935,0.8835,1664223573.4618857
38,0.5226112008094788,0.85546875,0.46396933307647703,0.8851,1664224113.0513482
39,0.47540485858917236,0.8828125,0.4574535343647003,0.8858,1664224638.251405
40,0.4773201644420624,0.875,0.45290604796409606,0.8847,1664225153.6722727
41,0.46206367015838623,0.87890625,0.44692155027389524,0.8884,1664225674.324426
42,0.43760165572166443,0.89453125,0.4429915069103241,0.8874,1664226231.8601923
43,0.4352762699127197,0.89453125,0.43768219323158264,0.8898,1664226826.6587062
44,0.45087695121765137,0.87890625,0.43218952751159667,0.8903,1664227527.3091743
45,0.43438926339149475,0.87890625,0.42821117758750915,0.8902,1664228098.7858949
46,0.4127964675426483,0.91015625,0.42396398863792417,0.8902,1664228571.0799372
47,0.2942151129245758,0.9270833333333334,0.4205365375995636,0.8912,1664229083.7865794
48,0.3565942049026489,0.8984375,0.4167528156280518,0.8915,1664229558.3901827
49,0.475629061460495,0.859375,0.41374343452453616,0.8914,1664230101.8954961
50,0.41095104813575745,0.8984375,0.4108292356967926,0.8921,1664230701.576726
51,0.3531572222709656,0.90625,0.4076456958770752,0.894,1664231181.9794726
52,0.525116503238678,0.84765625,0.40327650423049927,0.8929,1664231706.235966
53,0.3860456943511963,0.90625,0.4008385056972504,0.8943,1664232227.42285
54,0.29127272963523865,0.9296875,0.397664666223526,0.895,1664232773.550012
55,0.3454218804836273,0.91015625,0.3946008029460907,0.8957,1664233444.7677
56,0.4278562068939209,0.8671875,0.3920236644029617,0.8953,1664233886.8333957
57,0.45309385657310486,0.859375,0.38859557008743284,0.8963,1664234443.9337387
58,0.35192689299583435,0.9296875,0.3860274379491806,0.8976,1664235046.4102225
59,0.39625442028045654,0.8984375,0.3835061475276947,0.8978,1664235606.1212213
60,0.4499189257621765,0.86328125,0.38090701920986175,0.8981,1664236078.4061189
61,0.39073309302330017,0.8828125,0.38000674998760225,0.8983,1664236519.552888
62,0.4417460560798645,0.86328125,0.37739617552757265,0.8987,1664237055.2492056
63,0.512786865234375,0.87890625,0.37743364174365995,0.8982,1664237713.7068777
64,0.30472874641418457,0.91796875,0.37375000302791594,0.8994,1664238294.8391476
65,0.3858206868171692,0.88671875,0.37206198766231535,0.8994,1664238807.5826192
66,0.33536502718925476,0.90234375,0.3706076822280884,0.8993,1664239350.932205
67,0.365383505821228,0.9140625,0.3681423365831375,0.9006,1664239887.8696926
68,0.3142724633216858,0.91015625,0.36601615715026853,0.9005,1664240368.4987576
69,0.37300392985343933,0.90625,0.3646676505804062,0.9014,1664240828.7906466
70,0.40290021896362305,0.8984375,0.36277782542705533,0.9012,1664241323.606738
