,train_loss,train_acc,val_loss,val_acc,time_refs
0,,,2.305256986618042,0.0897,1663343238.0618827
1,2.270871162414551,0.19921875,2.257037869262695,0.2026,1663343688.3708127
2,2.1876320838928223,0.42578125,2.1986675136566163,0.3994,1663344148.264083
3,2.1200194358825684,0.578125,2.1247268989562986,0.5454,1663344609.9781168
4,2.034882068634033,0.625,2.028694948387146,0.6187,1663345042.4048629
5,1.9268624782562256,0.66015625,1.9264619371414184,0.6486,1663345477.6161802
6,1.8282920122146606,0.65625,1.8220573024749755,0.6842,1663345928.3029525
7,1.7448519468307495,0.66015625,1.7225696691513062,0.6865,1663346379.2847548
8,1.6449754238128662,0.69921875,1.622351336288452,0.7095,1663346832.5056314
9,1.5135390758514404,0.73046875,1.505371495628357,0.7121,1663347282.8027213
10,1.4257301092147827,0.734375,1.3877837663650512,0.7403,1663347724.155567
11,1.2845783233642578,0.74609375,1.282462405014038,0.7622,1663348146.6959207
12,1.2344545125961304,0.765625,1.1871733573913574,0.778,1663348555.5433624
13,1.1198605298995972,0.78125,1.0987352996826172,0.7937,1663348994.8565412
14,1.011704444885254,0.7890625,1.02373871717453,0.8032,1663349436.497317
15,1.0329288244247437,0.77734375,0.9578042084693908,0.8155,1663349858.2840097
16,0.8790297508239746,0.83203125,0.9031730125427246,0.8206,1663350293.3058538
17,0.9015754461288452,0.80078125,0.8617327939987183,0.8282,1663350749.9494545
18,0.8379034399986267,0.81640625,0.8225924028396606,0.8346,1663351212.7682943
19,0.8153195977210999,0.828125,0.786074949169159,0.8345,1663351659.643283
20,0.745700478553772,0.86328125,0.7569958317756653,0.8425,1663352119.109749
21,0.8361421823501587,0.7578125,0.7296477044105529,0.8477,1663352579.0690358
22,0.7173681259155273,0.86328125,0.7044029918670655,0.8483,1663353035.7137635
23,0.6573897004127502,0.88671875,0.6824571585655212,0.8539,1663353493.629867
24,0.6716347932815552,0.890625,0.6625827507019043,0.8548,1663353951.6319985
25,0.6718921065330505,0.83984375,0.6430062934398652,0.859,1663354410.808255
26,0.6441466212272644,0.83203125,0.6266484576702118,0.8613,1663354869.554473
27,0.6646538376808167,0.83203125,0.6112933382511139,0.8619,1663355324.9637926
28,0.6475525498390198,0.8515625,0.596900092124939,0.8636,1663355779.2069857
29,0.5587249994277954,0.85546875,0.5833039173126221,0.8649,1663356239.1034606
30,0.6205704212188721,0.8671875,0.5713032377243042,0.8661,1663356699.4795713
31,0.6413218975067139,0.8359375,0.5604404167652131,0.8699,1663357159.747475
32,0.6496032476425171,0.859375,0.5490589485168457,0.8704,1663357611.8621233
33,0.5146282911300659,0.87890625,0.5390477784633636,0.8745,1663358069.8411489
34,0.5750872492790222,0.875,0.5289389313697815,0.8745,1663358523.034114
35,0.5669295787811279,0.84375,0.5200770884513854,0.877,1663358961.8742185
36,0.47705188393592834,0.890625,0.5126928696155548,0.8775,1663359420.5354824
37,0.4699721336364746,0.89453125,0.5052525970458984,0.8785,1663359884.9127073
38,0.45474281907081604,0.91015625,0.49642913007736206,0.8797,1663360356.4783018
39,0.4031032621860504,0.93359375,0.48860865302085876,0.8807,1663360802.8287203
40,0.45485568046569824,0.89453125,0.4820636553287506,0.8808,1663361230.267946
41,0.545049786567688,0.8359375,0.47631253542900087,0.8811,1663361683.5035615
42,0.4851493239402771,0.8671875,0.4677905380725861,0.884,1663362122.7200203
43,0.5199780464172363,0.859375,0.46152473130226135,0.8858,1663362545.9249303
44,0.4470658302307129,0.89453125,0.4546003357410431,0.8868,1663362994.519288
45,0.44107893109321594,0.875,0.4503485209465027,0.8868,1663363428.7671146
46,0.5021451711654663,0.85546875,0.4458167751789093,0.8879,1663363870.5546293
47,0.4953765571117401,0.8541666666666666,0.44092882690429686,0.8886,1663364315.7797668
48,0.3408905565738678,0.9375,0.43658779039382933,0.8875,1663364769.862077
49,0.4291191101074219,0.90234375,0.4327943654060364,0.888,1663365205.0644803
50,0.3899305760860443,0.8984375,0.42988387837409975,0.8879,1663365661.182147
51,0.43373268842697144,0.8984375,0.424822345495224,0.8901,1663366125.4097764
52,0.41203078627586365,0.89453125,0.4216357222557068,0.8914,1663366576.8847253
53,0.3983900845050812,0.89453125,0.41891726441383365,0.8927,1663367035.0593529
54,0.4995826780796051,0.859375,0.4161512754917145,0.891,1663367471.888263
55,0.34802117943763733,0.921875,0.4125473855495453,0.8915,1663367895.8103092
56,0.41103947162628174,0.89453125,0.40859855332374573,0.8917,1663368360.2903407
57,0.38223782181739807,0.90625,0.40530903043746946,0.8943,1663368821.2316463
58,0.39283689856529236,0.890625,0.4020401271820068,0.8946,1663369283.8842895
59,0.38274621963500977,0.91796875,0.3990791974067688,0.8943,1663369749.6681318
60,0.4290125370025635,0.87109375,0.3966781929016113,0.8951,1663370209.613692
61,0.35052844882011414,0.890625,0.3940352502822876,0.8962,1663370656.841795
62,0.5164675116539001,0.859375,0.3903227481603622,0.8973,1663371107.6178083
63,0.3935307264328003,0.91015625,0.387805002617836,0.8968,1663371542.9944348
64,0.4491213858127594,0.88671875,0.3857507666349411,0.8972,1663371971.1004636
65,0.3526839017868042,0.9140625,0.3843260440587997,0.898,1663372425.264013
66,0.4023677706718445,0.87890625,0.38151717355251313,0.8983,1663372857.8172636
67,0.34749701619148254,0.90625,0.37965552821159365,0.8984,1663373313.6048121
68,0.5002710223197937,0.828125,0.37787962687015536,0.8993,1663373776.971032
69,0.3769240081310272,0.890625,0.37458613092899323,0.8999,1663374199.2105587
70,0.32008346915245056,0.921875,0.373300253367424,0.8996,1663374674.4473655
