,train_loss,train_acc,val_loss,val_acc
0,,,2.305256986618042,0.0897
1,2.2813374996185303,0.14453125,2.2724036891937254,0.1752
2,2.245270252227783,0.25,2.237895093536377,0.2686
3,2.1951799392700195,0.38671875,2.201420756149292,0.3962
4,2.1707663536071777,0.47265625,2.162922411727905,0.4766
5,2.125385046005249,0.5546875,2.1233623016357424,0.5447
3721.4477200508118
