,train_loss,train_acc,val_loss,val_acc,time_refs
0,,,2.305256986618042,0.0897,1663960916.383688
1,2.2482006549835205,0.26171875,2.244005493927002,0.2672,1663961389.2078962
2,2.180544853210449,0.4453125,2.1650159046173094,0.4761,1663961881.524569
3,2.0888383388519287,0.5703125,2.08263842086792,0.5774,1663962391.4582088
4,2.0214834213256836,0.6171875,1.9906545248031615,0.6404,1663962881.6589563
5,1.858696460723877,0.6640625,1.8780761154174805,0.6549,1663963360.9613748
6,1.7814483642578125,0.7109375,1.771510604286194,0.6878,1663963785.848038
7,1.677161693572998,0.671875,1.653025673675537,0.6919,1663964268.6124487
8,1.571364164352417,0.69921875,1.5296847770690918,0.7203,1663964744.8058379
9,1.410329818725586,0.75,1.4082948472976684,0.7371,1663965312.4392445
10,1.288108229637146,0.765625,1.2908839742660523,0.7561,1663965843.1572785
11,1.1982840299606323,0.76171875,1.1945887428283692,0.7811,1663966275.163507
12,1.1388787031173706,0.77734375,1.1151858293533325,0.7852,1663966711.1015844
13,1.043994426727295,0.8359375,1.03313218793869,0.8032,1663967278.6900303
14,1.0009026527404785,0.8046875,0.9747472834587098,0.8074,1663967717.684969
15,0.9835890531539917,0.78125,0.9235557137489319,0.818,1663968147.5618467
16,0.9005770683288574,0.80859375,0.8724631017684936,0.8251,1663968625.2462127
17,0.87702476978302,0.7890625,0.8288277592658997,0.831,1663969110.8895123
18,0.8291531801223755,0.83203125,0.788303761768341,0.8364,1663969579.5327966
19,0.7741342186927795,0.82421875,0.7536936703681946,0.8418,1663970079.28533
20,0.7501507997512817,0.859375,0.7260040181159974,0.8446,1663970508.8063836
21,0.742097795009613,0.8359375,0.6922507055282593,0.8519,1663971107.950676
22,0.7070209980010986,0.82421875,0.6618889614105224,0.8547,1663971813.6050668
23,0.6473428010940552,0.86328125,0.6417662498950958,0.8566,1663972254.7141414
24,0.6328849196434021,0.86328125,0.6237643800258637,0.8611,1663972747.8547542
25,0.6802147030830383,0.81640625,0.6063621361732483,0.8624,1663973218.4417598
26,0.5939698219299316,0.87890625,0.5915637641906738,0.8655,1663973711.5338414
27,0.5755347013473511,0.84375,0.5767766789913178,0.8654,1663974267.4143655
28,0.5989862084388733,0.8515625,0.5595665425300598,0.868,1663974855.0149808
29,0.5342557430267334,0.859375,0.5471015768527985,0.8713,1663975277.2666683
30,0.6257199645042419,0.84375,0.5338959125995636,0.8732,1663975841.902527
31,0.5889067649841309,0.8671875,0.5225885171890259,0.8741,1663976422.8018079
32,0.4403073191642761,0.9140625,0.5096551328182221,0.8772,1663976961.4352
33,0.5500917434692383,0.8515625,0.5013484735012055,0.8792,1663977412.068215
34,0.5288732051849365,0.8671875,0.48993136582374575,0.8803,1663978092.0304222
35,0.46460485458374023,0.88671875,0.48297140502929686,0.8809,1663978512.30289
36,0.5475805401802063,0.85546875,0.4751337658405304,0.8832,1663979098.1696804
37,0.48797407746315,0.87890625,0.46812120814323427,0.8839,1663979533.645678
38,0.48958948254585266,0.875,0.46274709277153014,0.8858,1663979960.447181
39,0.40311330556869507,0.890625,0.45693150310516356,0.8849,1663980597.1101744
40,0.44385385513305664,0.8828125,0.4513677885532379,0.8855,1663981174.1320217
41,0.4441039264202118,0.8671875,0.4461639676570892,0.8866,1663981649.1084528
42,0.443287193775177,0.89453125,0.4414039611339569,0.8884,1663982131.1920514
43,0.3794761002063751,0.8984375,0.4349786736011505,0.8894,1663982850.8140872
44,0.43769341707229614,0.890625,0.4310122782707214,0.8908,1663983345.8084548
45,0.5529206991195679,0.8515625,0.42535458998680115,0.891,1663983988.7799394
46,0.47881314158439636,0.85546875,0.42306032552719114,0.8904,1663984433.940302
47,0.514822781085968,0.875,0.41865100846290587,0.8916,1663984897.0755556
48,0.42134928703308105,0.91015625,0.41442852153778076,0.8915,1663985440.257915
49,0.4749784767627716,0.87890625,0.41114585156440736,0.8932,1663985940.0536788
50,0.46816548705101013,0.87890625,0.40864818172454836,0.893,1663986463.1406398
51,0.3908096253871918,0.8828125,0.40503260440826416,0.894,1663986893.9325888
52,0.33153119683265686,0.921875,0.40143418645858764,0.8945,1663987427.4872038
53,0.3794901371002197,0.90625,0.39798833985328674,0.8945,1663987901.7944694
54,0.4117089509963989,0.90234375,0.39586411089897156,0.8942,1663988434.5172565
55,0.4931071996688843,0.8515625,0.3917776428461075,0.8953,1663988941.6893067
56,0.3575202226638794,0.90625,0.3892993653297424,0.8966,1663989368.2898507
57,0.398544043302536,0.90234375,0.3865741763830185,0.8973,1663989975.280465
58,0.4387540817260742,0.89453125,0.3840171186208725,0.8974,1663990465.9305167
59,0.3313785791397095,0.90625,0.3820896381855011,0.8982,1663990890.0022113
60,0.3416125476360321,0.9140625,0.3795871549129486,0.8981,1663991321.5157402
61,0.36418384313583374,0.91015625,0.37881634600162506,0.8975,1663991792.1963048
62,0.4476628601551056,0.875,0.37657770953178404,0.8987,1663992284.9352658
63,0.43557846546173096,0.8671875,0.37326503932476046,0.8985,1663992810.7918978
64,0.4461520314216614,0.8828125,0.37170872797966004,0.8996,1663993255.6121979
65,0.38246801495552063,0.91015625,0.3699131532907486,0.899,1663993773.6422064
66,0.3962475061416626,0.890625,0.36784999570846555,0.9001,1663994207.5650928
67,0.35814446210861206,0.92578125,0.36566064133644105,0.9005,1663994779.845658
68,0.4237220287322998,0.87890625,0.3650113928318024,0.901,1663995255.2140071
69,0.39719855785369873,0.90234375,0.36393293797969817,0.9006,1663995765.9178882
70,0.3478148877620697,0.9140625,0.361442301940918,0.9007,1663996397.828135
