,val_loss,val_acc
0,2.3052569988250733,0.0897
1,2.2955212825775146,0.1107
2,2.2859805168151857,0.1352
3,2.276742548370361,0.1623
4,2.2674670711517333,0.1888
5,2.257833263015747,0.2192
6,2.248076026916504,0.2519
7,2.2382374237060545,0.284
8,2.228312921142578,0.3186
9,2.2184992473602296,0.3487
10,2.208637180709839,0.3771
11,2.198600821685791,0.4043
12,2.1884530242919924,0.43
13,2.178125972366333,0.4543
14,2.1673789596557618,0.4777
15,2.1564666072845458,0.4973
16,2.1456113235473633,0.5115
17,2.134538021850586,0.5335
18,2.1233037948608398,0.5448
19,2.1121520057678222,0.5571
20,2.100536156845093,0.5688
21,2.0888852725982665,0.5831
22,2.0766463790893557,0.5912
23,2.064539165878296,0.6018
24,2.051726211929321,0.609
25,2.0388234163284302,0.6154
26,2.0259387422561645,0.6208
27,2.0129915504455567,0.6268
28,1.9996468915939332,0.6311
29,1.9857585912704467,0.6358
30,1.9717711532592774,0.6387
31,1.95722606010437,0.6402
32,1.9430346969604493,0.6444
33,1.9286754985809327,0.6489
34,1.914198759841919,0.6508
35,1.8995923536300658,0.658
36,1.884653676223755,0.658
37,1.8696811428070068,0.6621
38,1.8542070055007935,0.6658
39,1.838628632736206,0.6676
40,1.8231126461029052,0.6705
41,1.8074905435562134,0.6766
42,1.7918589218139649,0.6786
43,1.776308415031433,0.6841
44,1.7604348218917847,0.6872
45,1.744447109413147,0.6922
46,1.7286608768463134,0.6943
47,1.7124417875289917,0.6979
48,1.6956644344329834,0.7004
49,1.6791562423706055,0.701
50,1.6630796689987182,0.7043
51,1.6469985208511353,0.7064
52,1.6305783824920654,0.7084
53,1.6142267961502075,0.7095
54,1.5976554594039918,0.7096
55,1.5812922704696655,0.7093
56,1.5650753969192506,0.7138
57,1.5490796127319335,0.7171
58,1.5330207078933715,0.7185
59,1.5171859922409057,0.7219
60,1.501335192489624,0.7241
61,1.485161406326294,0.7276
62,1.4694448846817016,0.7298
63,1.4537820016860963,0.7325
64,1.4382688461303712,0.7344
65,1.4230260614395143,0.7373
66,1.4081806015014648,0.7412
67,1.3933852127075195,0.7424
68,1.3785707292556764,0.7476
69,1.3637657360076905,0.7505
70,1.3493729063034057,0.7507
71,1.3348369007110596,0.7522
72,1.3204907541275024,0.754
73,1.306507434272766,0.7579
74,1.292847400856018,0.7625
75,1.2792107641220092,0.7643
76,1.2657581695556641,0.7654
77,1.2526624629974366,0.7655
78,1.2397044355392457,0.7642
79,1.2265964490890502,0.7687
80,1.2139813865661622,0.7716
81,1.201652883720398,0.7737
82,1.1891522594451904,0.7767
83,1.1771077156066894,0.7799
84,1.1652312355995178,0.7838
85,1.1534676436424256,0.7857
86,1.1418632553100585,0.7886
87,1.1304855464935302,0.7905
88,1.1192548478126525,0.7922
